epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,52.1197,0.98262,2.09589,2.73887,1.18341,0.00167,1,0.937,0.73052,0.00167,1,0.937,0.65009,0.54022,1.50674,44.5917,0.78576,0.00042,0.00042,0.00042
2,104.033,0.77786,1.00567,1.71038,1.09061,1,0.40376,0.76244,0.56746,1,0.40376,0.76311,0.58783,0.6409,1.72697,43.9479,0.88945,0.000842972,0.000842972,0.000842972
3,154.665,0.99514,1.18224,1.99298,1.16785,1,0.79842,0.90391,0.75412,1,0.79842,0.90391,0.76988,0.45267,0.94252,45.8191,0.7063,0.00124852,0.00124852,0.00124852
4,204.529,0.9203,0.95807,1.68862,1.16896,0.92115,0.55713,0.72437,0.45262,0.92115,0.55713,0.72437,0.51395,0.84191,1.42281,35.8004,0.89406,0.00163664,0.00163664,0.00163664
5,254.995,0.93927,1.02287,1.81843,1.11971,0.74462,1,0.9468,0.67974,0.74462,1,0.9468,0.79323,0.53723,0.49469,24.1851,0.83841,0.0018416,0.0018416,0.0018416
6,304.673,0.96105,1.08155,1.67826,1.13398,0.72686,0.88749,0.89942,0.69755,0.72686,0.88749,0.89942,0.77477,0.52273,0.58116,26.4584,0.70699,0.001802,0.001802,0.001802
7,354.341,0.86349,0.95352,1.51192,1.08418,0.63528,0.85714,0.84975,0.64307,0.78205,0.68407,0.8436,0.71703,0.61176,1.21809,21.7161,0.76636,0.0017624,0.0017624,0.0017624
8,403.576,0.89089,0.928,1.47824,1.11226,0.9545,0.99894,0.99318,0.84502,0.9545,0.99894,0.99318,0.87849,0.4417,0.66039,22.5992,0.66467,0.0017228,0.0017228,0.0017228
9,452.935,0.79526,0.85179,1.3411,1.06512,0.9962,1,0.995,0.86151,0.9962,1,0.995,0.9018,0.39578,0.4718,16.2655,0.63923,0.0016832,0.0016832,0.0016832
10,512.183,0.80196,0.87778,1.14312,1.03889,0.98455,1,0.995,0.86868,0.98455,1,0.995,0.90531,0.37259,0.4788,15.9784,0.61339,0.0016436,0.0016436,0.0016436
11,562.898,0.81949,1.00059,1.09229,1.07824,0.99506,1,0.995,0.88094,0.99506,1,0.995,0.87796,0.42066,0.56493,18.028,0.64385,0.001604,0.001604,0.001604
12,612.594,0.77404,0.88042,1.05899,1.06123,0.92971,0.80952,0.90913,0.75,0.92971,0.80952,0.90913,0.79165,0.48899,0.4051,18.258,0.66277,0.0015644,0.0015644,0.0015644
13,663.684,0.78837,0.90725,1.07649,1.03821,0.97709,1,0.995,0.86843,0.97709,1,0.995,0.89239,0.40212,0.46963,13.4473,0.655,0.0015248,0.0015248,0.0015248
14,716.665,0.76556,0.90473,1.01278,1.06884,0.99681,1,0.995,0.92803,0.99681,1,0.995,0.93085,0.29217,0.40415,11.9864,0.56851,0.0014852,0.0014852,0.0014852
15,766.342,0.69714,0.89389,0.9391,0.99789,0.99716,1,0.995,0.89439,0.99716,1,0.995,0.91667,0.35557,0.38944,12.4083,0.59238,0.0014456,0.0014456,0.0014456
16,816.224,0.70477,0.83147,0.87837,1.01443,0.9973,1,0.995,0.92115,0.9973,1,0.995,0.92248,0.30812,0.38796,12.1838,0.57249,0.001406,0.001406,0.001406
